Населенный пункт,Тип,Субъект,Население (мужчины),Население (женщины)
железнодорожная станция Чернец,Железнодорожная станция,Брянская область,1640,1800
железнодорожная станция Клявлино,Железнодорожная станция,Самарская область,3141,3476
железнодорожная станция Шентала,Железнодорожная станция,Самарская область,2651,3012
улус Нур-Селение,Улус,Республика Бурятия,1566,1690
улус Хойтобэе,Улус,Республика Бурятия,2548,2821
Блечепсинское сельское поселение - аул Блечепсин,Аул,Республика Адыгея,1573,1592
Кошехабльское сельское поселение - аул Кошехабль,Аул,Республика Адыгея,3438,3870
аул Хатукай,Аул,Республика Адыгея,2447,2697
аул Тахтамукай,Аул,Республика Адыгея,2885,3190
аул Понежукай,Аул,Республика Адыгея,1597,1775
аул Хакуринохабль,Аул,Республика Адыгея,1888,1977
Псыжское сельское поселение - аул Псыж,Аул,Карачаево-Черкесская Республика,4095,4625
Адыге-Хабльское сельское поселение - аул Адыге-Хабль,Аул,Карачаево-Черкесская Республика,1993,2483
Кызыл-Октябрьское сельское поселение - аул Кызыл-Октябрь,Аул,Карачаево-Черкесская Республика,1867,1924
Каменномостское сельское поселение - сельское население - аул Каменномост,Аул,Карачаево-Черкесская Республика,1517,1757
Кумышское сельское поселение - сельское население - аул Кумыш,Аул,Карачаево-Черкесская Республика,2437,2686
аул Икон-Халк,Аул,Карачаево-Черкесская Республика,2208,2367
аул Новая Джегута,Аул,Карачаево-Черкесская Республика,1951,2133
Сары-Тюзское сельское поселение - сельское население - аул Сары-Тюз,Аул,Карачаево-Черкесская Республика,2025,2161
Али-Бердуковское сельское поселение - аул Али-Бердуковский,Аул,Карачаево-Черкесская Республика,2602,2845
Бесленеевское сельское поселение - аул Бесленей,Аул,Карачаево-Черкесская Республика,1735,1841
Зеюковское сельское поселение - аул Зеюко,Аул,Карачаево-Черкесская Республика,1543,1826
Хабезское сельское поселение - аул Хабез,Аул,Карачаево-Черкесская Республика,3178,3446
аул Махмуд-Мектеб,Аул,Ставропольский край,1587,1585
хутор Гавердовский,Хутор,Республика Адыгея,2254,2478
хутор Северо-Восточные Сады,Хутор,Республика Адыгея,1615,1789
хутор Ленина,Хутор,Краснодарский край,5189,5455
хутор Красная Поляна,Хутор,Краснодарский край,1586,1668
хутор Семигорский,Хутор,Краснодарский край,1636,1668
хутор Трудобеликовский,Хутор,Краснодарский край,4454,5126
хутор Новоукраинский,Хутор,Краснодарский край,2053,2209
хутор Коржевский,Хутор,Краснодарский край,1659,1924
хутор Бараниковский,Хутор,Краснодарский край,1466,1549
хутор Большой Лог,Хутор,Ростовская область,3047,3272
хутор Елкин,Хутор,Ростовская область,1496,1579
хутор Потапов,Хутор,Ростовская область,1466,1542
хутор Красновка,Хутор,Ростовская область,1658,1886
хутор Старая Станица,Хутор,Ростовская область,3599,4034
Калининское сельское поселение - хутор Калинин,Хутор,Ростовская область,2328,2509
хутор Апаринский,Хутор,Ростовская область,1563,1682
хутор Красный Пахарь,Хутор,Ставропольский край,1976,2206
слобода Михайловка,Слобода,Курская область,1467,1576
слобода Кашары,Слобода,Ростовская область,2453,2897
слобода Большая Орловка,Слобода,Ростовская область,2009,2137
слобода Большая Мартыновка,Слобода,Ростовская область,2905,3360
слобода Красюковская,Слобода,Ростовская область,2228,2407
слобода Родионово-Несветайская,Слобода,Ростовская область,2874,3333
Городское население - рп Нижний Кисляй,Рабочий поселок,Воронежская область,1458,1698
Городское население - рп Кантемировка,Рабочий поселок,Воронежская область,4928,5787
рп Новохопёрский,Рабочий поселок,Воронежская область,3501,4308
Городское население - рп Елань-Коленовский,Рабочий поселок,Воронежская область,1495,1779
Городское население - рп Ольховатка,Рабочий поселок,Воронежская область,1450,1826
Городское население - рп Панино,Рабочий поселок,Воронежская область,2691,3304
Городское население - рп Перелёшинский,Рабочий поселок,Воронежская область,1202,1375
Городское население - рп Рамонь,Рабочий поселок,Воронежская область,3861,4639
Латненское городское поселение - городское население - рп Латная,Рабочий поселок,Воронежская область,3322,3963
Городское население - рп Стрелица,Рабочий поселок,Воронежская область,1812,2196
Таловское городское поселение - городское население - рп Таловая,Рабочий поселок,Воронежская область,4936,6200
Городское население - рп Хохольский,Рабочий поселок,Воронежская область,3582,4372
Городское население - рп Белушья Губа,Рабочий поселок,Архангельская область без автономного округа,1335,637
Городское население - рп Кулой,Рабочий поселок,Архангельская область без автономного округа,2155,2651
Городское население - рп Коноша,Рабочий поселок,Архангельская область без автономного округа,4739,5731
Городское население - рп Приводино,Рабочий поселок,Архангельская область без автономного округа,1579,1582
Городское население - рп Шипицыно,Рабочий поселок,Архангельская область без автономного округа,1588,1792
Городское население - рп Урдома,Рабочий поселок,Архангельская область без автономного округа,1923,2119
Городское население - рп Малошуйка,Рабочий поселок,Архангельская область без автономного округа,947,1052
Городское население - рп Октябрьский,Рабочий поселок,Архангельская область без автономного округа,4082,5055
рп Обозерский,Рабочий поселок,Архангельская область без автономного округа,1677,1761
рп Плесецк,Рабочий поселок,Архангельская область без автономного округа,4143,4954
рп Савинский,Рабочий поселок,Архангельская область без автономного округа,2599,3244
рп Североонежск,Рабочий поселок,Архангельская область без автономного округа,2433,2391
Городское население - рп Лиман рп,Рабочий поселок,Астраханская область,4097,4917
Городское поселение Приютовский поссовет - городское население - рп Приютово,Рабочий поселок,Республика Башкортостан,8983,10612
Городское поселение Чишминский поссовет - городское население - рп Чишмы,Рабочий поселок,Республика Башкортостан,10442,12155
рп Майна,Рабочий поселок,Республика Хакасия,1983,2342
рп Черёмушки,Рабочий поселок,Республика Хакасия,3255,4127
рп Пригорск,Рабочий поселок,Республика Хакасия,1091,1275
Городское поселение Аскизский поссовет - городское население - рп Аскиз,Рабочий поселок,Республика Хакасия,2535,2821
Городское население - рп Бискамжа,Рабочий поселок,Республика Хакасия,552,630
Городское поселение Вершино-Тёйский поссовет  - городское население - рп Вершина Тёи,Рабочий поселок,Республика Хакасия,1484,1625
Городское поселение Усть-Абаканский поссовет - городское население - рп Усть-Абакан,Рабочий поселок,Республика Хакасия,6427,7783
рп Южный,Рабочий поселок,Алтайский край,7815,10283
п. Гусевский,Поселок сельского типа,Владимирская область,841,1074
Городское население - п. Мстёра,Поселок сельского типа,Владимирская область,2046,2471
Городское население - п. Никологоры,Поселок сельского типа,Владимирская область,2248,2702
Городское поселение Залукокоаже - п. Залукокоаже,Поселок сельского типа,Кабардино-Балкарская Республика,4545,5304
Городское поселение Кашхатау - п. Кашхатау,Поселок сельского типа,Кабардино-Балкарская Республика,3074,3284
Беловское сельское поселение - сельское население,Сельское поселение,Белгородская область,2940,3118
Беломестненское сельское поселение - сельское население,Сельское поселение,Белгородская область,3077,3015
Бессоновское сельское поселение - сельское население,Сельское поселение,Белгородская область,2252,2396
Веселолопанское сельское поселение - сельское население,Сельское поселение,Белгородская область,1639,1954
Головинское сельское поселение - сельское население,Сельское поселение,Белгородская область,1167,1195
Дубовское сельское поселение - сельское население,Сельское поселение,Белгородская область,8494,9579
Ериковское сельское поселение - сельское население,Сельское поселение,Белгородская область,664,700
Журавлевское сельское поселение - сельское население,Сельское поселение,Белгородская область,592,670
Комсомольское сельское поселение - сельское население,Сельское поселение,Белгородская область,2178,2314
Краснооктябрьское сельское поселение - сельское население,Сельское поселение,Белгородская область,1520,1718
Крутологское сельское поселение - сельское население,Сельское поселение,Белгородская область,926,1025
Майское сельское поселение - сельское население,Сельское поселение,Белгородская область,7433,7885
Малиновское сельское поселение - сельское население,Сельское поселение,Белгородская область,826,903
Никольское сельское поселение - сельское население,Сельское поселение,Белгородская область,3901,4001
Новосадовское сельское поселение - сельское население,Сельское поселение,Белгородская область,6243,6498
Пушкарское сельское поселение - сельское население,Сельское поселение,Белгородская область,2655,2840
Тавровское сельское поселение - сельское население,Сельское поселение,Белгородская область,6891,7065
Хохловское сельское поселение - сельское население,Сельское поселение,Белгородская область,735,732
Щетиновское сельское поселение - сельское население,Сельское поселение,Белгородская область,502,542
Яснозоренское сельское поселение - сельское население,Сельское поселение,Белгородская область,1661,1776
Акулиновское сельское поселение - сельское население,Сельское поселение,Белгородская область,238,249
Белянское сельское поселение - сельское население,Сельское поселение,Белгородская область,1135,1257
Березовское сельское поселение - сельское население,Сельское поселение,Белгородская область,607,630
Грузсчанское сельское поселение - сельское население,Сельское поселение,Белгородская область,689,718
Краснокутское сельское поселение - сельское население,Сельское поселение,Белгородская область,269,303
Крюковское сельское поселение - сельское население,Сельское поселение,Белгородская область,544,592
Октябрьско-Готнянское сельское поселение - сельское население,Сельское поселение,Белгородская область,234,243
Стригуновское сельское поселение - сельское население,Сельское поселение,Белгородская область,1186,1282
Хотмыжское сельское поселение - сельское население,Сельское поселение,Белгородская область,571,604
Белоколодезское сельское поселение - сельское население,Сельское поселение,Белгородская область,580,651
Большелипяговское сельское поселение - сельское население,Сельское поселение,Белгородская область,444,463
Викторопольское сельское поселение - сельское население,Сельское поселение,Белгородская область,804,912
Должанское сельское поселение - сельское население,Сельское поселение,Белгородская область,632,733
Закутчанское сельское поселение - сельское население,Сельское поселение,Белгородская область,631,677
Зенинское сельское поселение - сельское население,Сельское поселение,Белгородская область,683,709
Клименковское сельское поселение - сельское население,Сельское поселение,Белгородская область,462,499
Кубраковское сельское поселение - сельское население,Сельское поселение,Белгородская область,493,552
Малакеевское сельское поселение - сельское население,Сельское поселение,Белгородская область,753,741
Николаевское сельское поселение - сельское население,Сельское поселение,Белгородская область,795,849
Солонцинское сельское поселение - сельское население,Сельское поселение,Белгородская область,438,422
Борисовское сельское поселение - сельское население,Сельское поселение,Белгородская область,362,396
Волчье-Александровское сельское поселение - сельское население,Сельское поселение,Белгородская область,518,551
Голофеевское сельское поселение - сельское население,Сельское поселение,Белгородская область,331,345
Грушевское сельское поселение - сельское население,Сельское поселение,Белгородская область,629,665
Погромское сельское поселение - сельское население,Сельское поселение,Белгородская область,566,610
Покровское сельское поселение - сельское население,Сельское поселение,Белгородская область,701,765
Репьевское сельское поселение - сельское население,Сельское поселение,Белгородская область,262,256
Староивановское сельское поселение - сельское население,Сельское поселение,Белгородская область,1153,1242
Тишанское сельское поселение - сельское население,Сельское поселение,Белгородская область,526,565
Фощеватовское сельское поселение - сельское население,Сельское поселение,Белгородская область,502,522
Шидловское сельское поселение - сельское население,Сельское поселение,Белгородская область,287,299
Ютановское сельское поселение - сельское население,Сельское поселение,Белгородская область,1232,1281
Богатенское сельское поселение - сельское население,Сельское поселение,Белгородская область,361,363
Верхопенское сельское поселение - сельское население,Сельское поселение,Белгородская область,1185,1273
Владимировское сельское поселение - сельское население,Сельское поселение,Белгородская область,274,295
Вознесеновское сельское поселение - сельское население,Сельское поселение,Белгородская область,494,534
Драгунское сельское поселение - сельское население,Сельское поселение,Белгородская область,274,274
Кочетовское сельское поселение - сельское население,Сельское поселение,Белгородская область,386,396
Курасовское сельское поселение - сельское население,Сельское поселение,Белгородская область,698,797
Новенское сельское поселение - сельское население,Сельское поселение,Белгородская область,794,852
Сафоновское сельское поселение - сельское население,Сельское поселение,Белгородская область,345,391
Сухосолотинское сельское поселение - сельское население,Сельское поселение,Белгородская область,222,219
Сырцевское сельское поселение - сельское население,Сельское поселение,Белгородская область,379,421
Хомутчанское сельское поселение - сельское население,Сельское поселение,Белгородская область,287,297
Череновское сельское поселение - сельское население,Сельское поселение,Белгородская область,495,542
Алексеевское сельское поселение - сельское население,Сельское поселение,Белгородская область,989,1171
Анновское сельское поселение - сельское население,Сельское поселение,Белгородская область,492,606
Афанасовское сельское поселение - сельское население,Сельское поселение,Белгородская область,676,763
Бехтеевское сельское поселение - сельское население,Сельское поселение,Белгородская область,1990,2235
Большехаланское сельское поселение - сельское население,Сельское поселение,Белгородская область,429,501
Бубновское сельское поселение - сельское население,Сельское поселение,Белгородская область,306,361
Жигайловское сельское поселение - сельское население,Сельское поселение,Белгородская область,282,310
Заяченское сельское поселение - сельское население,Сельское поселение,Белгородская область,304,331
Коротковское сельское поселение - сельское население,Сельское поселение,Белгородская область,178,208
Кощеевское сельское поселение - сельское население,Сельское поселение,Белгородская область,552,625
Ломовское сельское поселение - сельское население,Сельское поселение,Белгородская область,838,905
Мелиховское сельское поселение - сельское население,Сельское поселение,Белгородская область,1539,1623
Новослободское сельское поселение - сельское население,Сельское поселение,Белгородская область,416,494
Плосковское сельское поселение - сельское население,Сельское поселение,Белгородская область,170,168
Плотавское сельское поселение - сельское население,Сельское поселение,Белгородская область,235,271
Погореловское сельское поселение - сельское население,Сельское поселение,Белгородская область,1337,1543
Поповское сельское поселение - сельское население,Сельское поселение,Белгородская область,600,721
Проходенское сельское поселение - сельское население,Сельское поселение,Белгородская область,525,596
Соколовское сельское поселение - сельское население,Сельское поселение,Белгородская область,432,486
Шеинское сельское поселение - сельское население,Сельское поселение,Белгородская область,421,449
Шляховское сельское поселение - сельское население,Сельское поселение,Белгородская область,263,268
Яблоновское сельское поселение - сельское население,Сельское поселение,Белгородская область,929,1036
Большовское сельское поселение,Сельское поселение,Белгородская область,204,216
Горкинское сельское поселение,Сельское поселение,Белгородская область,405,457
Готовское сельское поселение,Сельское поселение,Белгородская область,445,513
Камызинское сельское поселение,Сельское поселение,Белгородская область,684,806
Красненское сельское поселение,Сельское поселение,Белгородская область,1051,1183
Кругловское сельское поселение,Сельское поселение,Белгородская область,404,461
Лесноуколовское сельское поселение,Сельское поселение,Белгородская область,346,372
Новоуколовское сельское поселение,Сельское поселение,Белгородская область,1099,1136
Расховецкое сельское поселение,Сельское поселение,Белгородская область,371,377
Сетищенское сельское поселение,Сельское поселение,Белгородская область,386,442
Валуйчанское сельское поселение - сельское население,Сельское поселение,Белгородская область,476,518
Верхнепокровское сельское поселение - сельское население,Сельское поселение,Белгородская область,942,1013
Верхососенское сельское поселение - сельское население,Сельское поселение,Белгородская область,443,494
Веселовское сельское поселение - сельское население,Сельское поселение,Белгородская область,1542,1683
Засосенское сельское поселение - сельское население,Сельское поселение,Белгородская область,2008,2334
Калиновское сельское поселение - сельское население,Сельское поселение,Белгородская область,363,350
Коломыцевское сельское поселение - сельское население,Сельское поселение,Белгородская область,556,592
Ливенское сельское поселение - сельское население,Сельское поселение,Белгородская область,1679,1865
Марьевское сельское поселение - сельское население,Сельское поселение,Белгородская область,257,289
Никитовское сельское поселение - сельское население,Сельское поселение,Белгородская область,1255,1510
Новохуторное сельское поселение - сельское население,Сельское поселение,Белгородская область,135,152
Палатовское сельское поселение - сельское население,Сельское поселение,Белгородская область,451,529
Стрелецкое сельское поселение - сельское население,Сельское поселение,Белгородская область,1173,1239
Утянское сельское поселение - сельское население,Сельское поселение,Белгородская область,477,595
Вязовское сельское поселение - сельское население,Сельское поселение,Белгородская область,394,399
Графовское сельское поселение - сельское население,Сельское поселение,Белгородская область,472,488
Илек-Пеньковское сельское поселение - сельское население,Сельское поселение,Белгородская область,400,401
Колотиловское сельское поселение - сельское население,Сельское поселение,Белгородская область,559,531
Репяховское сельское поселение - сельское население,Сельское поселение,Белгородская область,413,455
Сергиевское сельское поселение - сельское население,Сельское поселение,Белгородская область,493,479
Теребренское сельское поселение - сельское население,Сельское поселение,Белгородская область,345,365
Беленихинское сельское поселение - сельское население,Сельское поселение,Белгородская область,871,935
Береговское сельское поселение - сельское население,Сельское поселение,Белгородская область,868,952
Журавское сельское поселение - сельское население,Сельское поселение,Белгородская область,586,569
Кривошеевское сельское поселение - сельское население,Сельское поселение,Белгородская область,679,677
Лучковское сельское поселение - сельское население,Сельское поселение,Белгородская область,297,296
Маломаяченское сельское поселение - сельское население,Сельское поселение,Белгородская область,271,262
Петровское сельское поселение - сельское население,Сельское поселение,Белгородская область,126,115
Подолешенское сельское поселение - сельское население,Сельское поселение,Белгородская область,527,582
Прелестненское сельское поселение - сельское население,Сельское поселение,Белгородская область,534,619
Призначенское сельское поселение - сельское население,Сельское поселение,Белгородская область,728,800
Радьковское сельское поселение - сельское население,Сельское поселение,Белгородская область,587,611
Ржавецкое сельское поселение - сельское население,Сельское поселение,Белгородская область,306,337
Холоднянское сельское поселение - сельское население,Сельское поселение,Белгородская область,549,602
Шаховское сельское поселение - сельское население,Сельское поселение,Белгородская область,176,180
Бобравское сельское поселение - сельское население,Сельское поселение,Белгородская область,912,949
Введено-Готнянское сельское поселение - сельское население,Сельское поселение,Белгородская область,203,248
Венгеровское сельское поселение - сельское население,Сельское поселение,Белгородская область,836,961
Вышнепенское сельское поселение - сельское население,Сельское поселение,Белгородская область,399,429
Дмитриевское сельское поселение - сельское население,Сельское поселение,Белгородская область,716,740
Зинаидинское сельское поселение - сельское население,Сельское поселение,Белгородская область,329,392
Илек-Кошарское сельское поселение - сельское население,Сельское поселение,Белгородская область,750,799
Нижнепенское сельское поселение - сельское население,Сельское поселение,Белгородская область,480,468
Солдатское сельское поселение - сельское население,Сельское поселение,Белгородская область,542,606
Трефиловское сельское поселение - сельское население,Сельское поселение,Белгородская область,401,452
Центральное сельское поселение - сельское население,Сельское поселение,Белгородская область,387,472
Айдарское сельское поселение - сельское население,Сельское поселение,Белгородская область,749,787
Верхнесеребрянское сельское поселение - сельское население,Сельское поселение,Белгородская область,534,569
Ладомировское сельское поселение - сельское население,Сельское поселение,Белгородская область,537,584
Лознянское сельское поселение - сельское население,Сельское поселение,Белгородская область,406,416
Лозовское сельское поселение - сельское население,Сельское поселение,Белгородская область,195,202
Наголенское сельское поселение - сельское население,Сельское поселение,Белгородская область,793,905
Нагорьевское сельское поселение - сельское население,Сельское поселение,Белгородская область,652,753
Новоалександровское сельское поселение - сельское население,Сельское поселение,Белгородская область,540,599
Ржевское сельское поселение - сельское население,Сельское поселение,Белгородская область,294,330
Свистовское сельское поселение - сельское население,Сельское поселение,Белгородская область,377,390
Харьковское сельское поселение - сельское население,Сельское поселение,Белгородская область,315,336
Андреевское сельское поселение - сельское население,Сельское поселение,Белгородская область,312,345
Большанское сельское поселение - сельское население,Сельское поселение,Белгородская область,216,269
Волоконовское сельское поселение - сельское население,Сельское поселение,Белгородская область,541,575
Волотовское сельское поселение - сельское население,Сельское поселение,Белгородская область,353,413
Ездоченское сельское поселение - сельское население,Сельское поселение,Белгородская область,1047,1150
Кочегуренское сельское поселение - сельское население,Сельское поселение,Белгородская область,413,432
Лозновское сельское поселение - сельское население,Сельское поселение,Белгородская область,252,258
Лубянское сельское поселение - сельское население,Сельское поселение,Белгородская область,241,223
Малотроицкое сельское поселение - сельское население,Сельское поселение,Белгородская область,490,527
Новореченское сельское поселение - сельское население,Сельское поселение,Белгородская область,256,241
Огибнянское сельское поселение - сельское население,Сельское поселение,Белгородская область,394,440
Ольшанское сельское поселение - сельское население,Сельское поселение,Белгородская область,579,640
Орликовское сельское поселение - сельское население,Сельское поселение,Белгородская область,535,555
Прилепенское сельское поселение - сельское население,Сельское поселение,Белгородская область,489,538
Русскохаланское сельское поселение - сельское население,Сельское поселение,Белгородская область,909,1026
Брасовское сельское поселение - сельское население,Сельское поселение,Брянская область,572,669
Веребское сельское поселение - сельское население,Сельское поселение,Брянская область,190,199
Вороновологское сельское поселение - сельское население,Сельское поселение,Брянская область,508,570
Глодневское сельское поселение - сельское население,Сельское поселение,Брянская область,375,469
Добриковское сельское поселение - сельское население,Сельское поселение,Брянская область,269,290
Крупецкое сельское поселение - сельское население,Сельское поселение,Брянская область,392,370
Погребское сельское поселение - сельское население,Сельское поселение,Брянская область,641,762
Сныткинское сельское поселение - сельское население,Сельское поселение,Брянская область,341,396
Столбовское сельское поселение - сельское население,Сельское поселение,Брянская область,249,279
Глинищевское сельское поселение,Сельское поселение,Брянская область,2873,3285
Добрунское сельское поселение,Сельское поселение,Брянская область,3117,3597
Домашовское сельское поселение,Сельское поселение,Брянская область,344,332
Журиничское сельское поселение,Сельское поселение,Брянская область,782,806
